Day,	Outlook,	Temperature,	Humidity,	Wind
D2087,	Overcast,	Mild,	High,	Weak
D2088,	Rain,	Mild,	Normal,	Strong
D2089,	Rain,	Mild,	Normal,	Strong
D2090,	Sunny,	Hot,	High,	Strong
D2091,	Sunny,	Cool,	Normal,	Weak
D2092,	Rain,	Hot,	Normal,	Weak
D2093,	Rain,	Cool,	Normal,	Weak
D2094,	Rain,	Mild,	Normal,	Weak
D2095,	Sunny,	Hot,	High,	Strong
D2096,	Overcast,	Cool,	Normal,	Strong
D2097,	Rain,	Hot,	Normal,	Weak
D2098,	Rain,	Mild,	High,	Strong
D2099,	Sunny,	Mild,	High,	Strong
D2100,	Rain,	Mild,	Normal,	Weak
D2101,	Sunny,	Cool,	High,	Weak
D2102,	Sunny,	Hot,	Normal,	Strong
D2103,	Overcast,	Hot,	Normal,	Strong
D2104,	Overcast,	Mild,	Normal,	Weak
D2105,	Overcast,	Hot,	High,	Strong
D2106,	Overcast,	Mild,	High,	Weak
D2107,	Rain,	Hot,	Normal,	Weak
D2108,	Overcast,	Cool,	Normal,	Weak
D2109,	Rain,	Mild,	High,	Weak
D2110,	Sunny,	Cool,	Normal,	Weak
D2111,	Rain,	Hot,	Normal,	Strong
D2112,	Rain,	Hot,	Normal,	Strong
D2113,	Overcast,	Cool,	High,	Strong
D2114,	Rain,	Mild,	Normal,	Weak
D2115,	Sunny,	Hot,	High,	Weak
D2116,	Rain,	Cool,	Normal,	Weak
D2117,	Overcast,	Cool,	Normal,	Weak
D2118,	Overcast,	Mild,	High,	Strong
D2119,	Overcast,	Hot,	High,	Strong
D2120,	Sunny,	Cool,	Normal,	Strong
D2121,	Sunny,	Hot,	Normal,	Weak
D2122,	Rain,	Hot,	High,	Weak
D2123,	Rain,	Cool,	High,	Weak
D2124,	Sunny,	Hot,	Normal,	Weak
D2125,	Rain,	Hot,	High,	Strong
D2126,	Rain,	Cool,	Normal,	Weak
D2127,	Rain,	Cool,	Normal,	Strong
D2128,	Overcast,	Hot,	Normal,	Strong
D2129,	Overcast,	Cool,	Normal,	Strong
D2130,	Overcast,	Mild,	Normal,	Strong
D2131,	Overcast,	Hot,	High,	Strong
D2132,	Sunny,	Mild,	Normal,	Strong
D2133,	Overcast,	Mild,	Normal,	Strong
D2134,	Rain,	Mild,	Normal,	Weak
D2135,	Rain,	Hot,	Normal,	Strong
D2136,	Sunny,	Hot,	High,	Weak
D2137,	Rain,	Cool,	Normal,	Strong
D2138,	Rain,	Mild,	High,	Weak
D2139,	Rain,	Hot,	High,	Weak
D2140,	Overcast,	Mild,	High,	Weak
D2141,	Overcast,	Mild,	Normal,	Weak
D2142,	Sunny,	Hot,	High,	Weak
D2143,	Sunny,	Mild,	Normal,	Weak
D2144,	Rain,	Hot,	Normal,	Strong
D2145,	Sunny,	Mild,	Normal,	Strong
D2146,	Rain,	Hot,	High,	Strong
D2147,	Sunny,	Hot,	Normal,	Strong
D2148,	Rain,	Hot,	Normal,	Strong
D2149,	Overcast,	Mild,	Normal,	Weak
D2150,	Sunny,	Cool,	Normal,	Weak
D2151,	Rain,	Mild,	High,	Weak
D2152,	Sunny,	Mild,	High,	Strong
D2153,	Sunny,	Cool,	High,	Weak
D2154,	Rain,	Mild,	Normal,	Weak
D2155,	Rain,	Hot,	Normal,	Strong
D2156,	Rain,	Mild,	High,	Strong
D2157,	Overcast,	Mild,	Normal,	Weak
D2158,	Overcast,	Cool,	Normal,	Strong
D2159,	Sunny,	Mild,	High,	Strong
D2160,	Sunny,	Hot,	Normal,	Weak
D2161,	Rain,	Hot,	High,	Strong
D2162,	Sunny,	Hot,	Normal,	Weak
D2163,	Overcast,	Mild,	High,	Strong
D2164,	Rain,	Mild,	High,	Weak
D2165,	Rain,	Mild,	High,	Weak
D2166,	Sunny,	Mild,	High,	Strong
D2167,	Sunny,	Mild,	Normal,	Weak
D2168,	Rain,	Mild,	Normal,	Weak
D2169,	Rain,	Mild,	High,	Strong
D2170,	Rain,	Hot,	High,	Weak
D2171,	Overcast,	Mild,	High,	Strong
D2172,	Sunny,	Mild,	Normal,	Weak
D2173,	Rain,	Hot,	High,	Strong
D2174,	Sunny,	Mild,	Normal,	Weak
D2175,	Overcast,	Hot,	Normal,	Weak
D2176,	Sunny,	Mild,	High,	Strong
D2177,	Rain,	Cool,	High,	Weak
D2178,	Rain,	Hot,	High,	Strong
D2179,	Sunny,	Mild,	High,	Weak
D2180,	Sunny,	Cool,	High,	Strong
D2181,	Rain,	Mild,	High,	Strong
D2182,	Sunny,	Hot,	Normal,	Strong
D2183,	Sunny,	Mild,	High,	Weak
D2184,	Rain,	Mild,	High,	Weak
D2185,	Sunny,	Mild,	High,	Weak
D2186,	Overcast,	Mild,	Normal,	Weak
D2187,	Rain,	Cool,	High,	Strong
D2188,	Sunny,	Mild,	High,	Strong
D2189,	Sunny,	Cool,	Normal,	Strong
D2190,	Overcast,	Hot,	Normal,	Weak
D2191,	Overcast,	Mild,	Normal,	Weak
D2192,	Overcast,	Cool,	Normal,	Strong
D2193,	Sunny,	Cool,	High,	Strong
D2194,	Rain,	Cool,	High,	Weak
D2195,	Sunny,	Mild,	High,	Strong
D2196,	Sunny,	Cool,	Normal,	Strong
D2197,	Rain,	Mild,	High,	Weak
D2198,	Overcast,	Hot,	High,	Weak
D2199,	Sunny,	Mild,	High,	Strong
D2200,	Overcast,	Hot,	Normal,	Strong
D2201,	Sunny,	Cool,	High,	Strong
D2202,	Rain,	Hot,	Normal,	Weak
D2203,	Sunny,	Cool,	Normal,	Strong
D2204,	Sunny,	Cool,	Normal,	Weak
D2205,	Rain,	Mild,	High,	Strong
D2206,	Rain,	Mild,	High,	Weak
D2207,	Overcast,	Hot,	High,	Strong
D2208,	Overcast,	Cool,	Normal,	Strong
D2209,	Sunny,	Mild,	Normal,	Weak
D2210,	Sunny,	Hot,	High,	Weak
D2211,	Sunny,	Mild,	High,	Weak
D2212,	Overcast,	Mild,	Normal,	Strong
D2213,	Sunny,	Cool,	Normal,	Weak
D2214,	Overcast,	Mild,	High,	Weak
D2215,	Rain,	Cool,	High,	Weak
D2216,	Rain,	Cool,	Normal,	Strong
D2217,	Overcast,	Hot,	High,	Strong
D2218,	Rain,	Hot,	Normal,	Strong
D2219,	Sunny,	Mild,	Normal,	Weak
D2220,	Overcast,	Mild,	Normal,	Weak
D2221,	Sunny,	Cool,	High,	Strong
D2222,	Overcast,	Mild,	High,	Strong
D2223,	Overcast,	Cool,	Normal,	Weak
D2224,	Rain,	Cool,	High,	Weak
D2225,	Rain,	Mild,	Normal,	Strong
D2226,	Overcast,	Cool,	Normal,	Strong
D2227,	Overcast,	Hot,	Normal,	Strong
D2228,	Overcast,	Hot,	High,	Weak
D2229,	Overcast,	Cool,	High,	Weak
D2230,	Rain,	Cool,	Normal,	Strong
D2231,	Rain,	Mild,	High,	Weak
D2232,	Overcast,	Cool,	High,	Strong
D2233,	Rain,	Cool,	High,	Strong
D2234,	Rain,	Mild,	Normal,	Strong
D2235,	Sunny,	Mild,	Normal,	Strong
D2236,	Rain,	Cool,	High,	Strong
D2237,	Overcast,	Hot,	Normal,	Strong
D2238,	Overcast,	Hot,	Normal,	Weak
D2239,	Rain,	Mild,	Normal,	Weak
D2240,	Overcast,	Hot,	Normal,	Strong
D2241,	Sunny,	Cool,	Normal,	Strong
D2242,	Overcast,	Hot,	High,	Weak
D2243,	Rain,	Cool,	Normal,	Weak
D2244,	Sunny,	Cool,	High,	Weak
D2245,	Overcast,	Mild,	Normal,	Strong
D2246,	Sunny,	Cool,	Normal,	Strong
D2247,	Sunny,	Cool,	Normal,	Weak
D2248,	Sunny,	Cool,	Normal,	Strong
D2249,	Sunny,	Cool,	Normal,	Strong
D2250,	Overcast,	Cool,	Normal,	Strong
D2251,	Overcast,	Cool,	Normal,	Weak
D2252,	Overcast,	Cool,	Normal,	Weak
D2253,	Rain,	Hot,	High,	Weak
D2254,	Overcast,	Cool,	High,	Weak
D2255,	Rain,	Mild,	High,	Strong
D2256,	Sunny,	Hot,	High,	Strong
D2257,	Overcast,	Hot,	High,	Weak
D2258,	Overcast,	Cool,	High,	Strong
D2259,	Sunny,	Cool,	Normal,	Strong
D2260,	Overcast,	Hot,	Normal,	Weak
D2261,	Sunny,	Cool,	Normal,	Weak
D2262,	Sunny,	Mild,	Normal,	Weak
D2263,	Overcast,	Cool,	Normal,	Strong
D2264,	Rain,	Hot,	Normal,	Weak
D2265,	Sunny,	Hot,	High,	Weak
D2266,	Sunny,	Mild,	Normal,	Weak
D2267,	Sunny,	Mild,	High,	Strong
D2268,	Sunny,	Hot,	High,	Strong
D2269,	Sunny,	Hot,	High,	Strong
D2270,	Overcast,	Mild,	Normal,	Weak
D2271,	Rain,	Hot,	High,	Weak
D2272,	Rain,	Mild,	Normal,	Strong
D2273,	Overcast,	Hot,	High,	Weak
D2274,	Overcast,	Hot,	High,	Strong
D2275,	Overcast,	Hot,	High,	Weak
D2276,	Rain,	Mild,	High,	Strong
D2277,	Overcast,	Hot,	Normal,	Weak
D2278,	Overcast,	Hot,	Normal,	Weak
D2279,	Overcast,	Mild,	High,	Weak
D2280,	Rain,	Hot,	Normal,	Weak
D2281,	Overcast,	Cool,	Normal,	Weak
D2282,	Overcast,	Cool,	Normal,	Strong
D2283,	Rain,	Hot,	High,	Strong
D2284,	Overcast,	Cool,	High,	Weak
D2285,	Sunny,	Cool,	High,	Weak
D2286,	Overcast,	Hot,	Normal,	Strong
D2287,	Overcast,	Hot,	High,	Strong
D2288,	Overcast,	Hot,	Normal,	Strong
D2289,	Sunny,	Hot,	High,	Strong
D2290,	Rain,	Mild,	Normal,	Weak
D2291,	Rain,	Mild,	High,	Weak
D2292,	Rain,	Mild,	High,	Strong
D2293,	Overcast,	Cool,	Normal,	Weak
D2294,	Rain,	Cool,	Normal,	Strong
D2295,	Rain,	Hot,	High,	Strong
D2296,	Sunny,	Mild,	High,	Weak
D2297,	Rain,	Cool,	High,	Strong
D2298,	Rain,	Hot,	Normal,	Strong
D2299,	Rain,	Cool,	Normal,	Weak
D2300,	Overcast,	Cool,	High,	Strong
D2301,	Sunny,	Mild,	Normal,	Strong
D2302,	Rain,	Cool,	Normal,	Weak
D2303,	Sunny,	Mild,	Normal,	Strong
D2304,	Overcast,	Mild,	Normal,	Weak
D2305,	Sunny,	Hot,	Normal,	Weak
D2306,	Overcast,	Mild,	Normal,	Strong
D2307,	Sunny,	Hot,	High,	Weak
D2308,	Overcast,	Mild,	High,	Weak
D2309,	Sunny,	Cool,	High,	Strong
D2310,	Overcast,	Hot,	High,	Strong
D2311,	Rain,	Hot,	Normal,	Strong
D2312,	Overcast,	Cool,	Normal,	Weak
D2313,	Sunny,	Cool,	Normal,	Weak
D2314,	Rain,	Cool,	High,	Strong
D2315,	Sunny,	Cool,	High,	Strong
D2316,	Overcast,	Cool,	High,	Weak
D2317,	Sunny,	Hot,	Normal,	Strong
D2318,	Rain,	Hot,	High,	Strong
D2319,	Overcast,	Mild,	High,	Weak
D2320,	Overcast,	Hot,	High,	Weak
D2321,	Rain,	Hot,	High,	Strong
D2322,	Overcast,	Hot,	High,	Weak
D2323,	Sunny,	Mild,	High,	Weak
D2324,	Overcast,	Hot,	High,	Weak
D2325,	Overcast,	Mild,	High,	Weak
D2326,	Rain,	Hot,	High,	Strong
D2327,	Overcast,	Hot,	High,	Strong
D2328,	Sunny,	Hot,	High,	Strong
D2329,	Sunny,	Mild,	Normal,	Weak
D2330,	Sunny,	Cool,	High,	Strong
D2331,	Rain,	Mild,	Normal,	Weak
D2332,	Sunny,	Mild,	Normal,	Weak
D2333,	Rain,	Mild,	High,	Strong
D2334,	Overcast,	Cool,	Normal,	Weak
D2335,	Rain,	Cool,	High,	Weak
D2336,	Rain,	Cool,	High,	Strong
D2337,	Rain,	Hot,	High,	Strong
D2338,	Rain,	Mild,	High,	Strong
D2339,	Overcast,	Hot,	Normal,	Strong
D2340,	Rain,	Cool,	High,	Strong
D2341,	Sunny,	Cool,	High,	Strong
D2342,	Rain,	Hot,	High,	Strong
D2343,	Overcast,	Cool,	Normal,	Weak
D2344,	Rain,	Hot,	High,	Strong
D2345,	Sunny,	Cool,	High,	Strong
D2346,	Overcast,	Cool,	Normal,	Weak
D2347,	Sunny,	Hot,	Normal,	Weak
D2348,	Rain,	Cool,	High,	Weak
D2349,	Overcast,	Mild,	Normal,	Strong
D2350,	Sunny,	Cool,	High,	Strong
D2351,	Sunny,	Mild,	Normal,	Weak
D2352,	Rain,	Cool,	Normal,	Weak
D2353,	Sunny,	Hot,	High,	Weak
D2354,	Rain,	Cool,	Normal,	Weak
D2355,	Rain,	Hot,	Normal,	Strong
D2356,	Overcast,	Hot,	High,	Weak
D2357,	Rain,	Mild,	High,	Weak
D2358,	Rain,	Mild,	Normal,	Weak
D2359,	Overcast,	Mild,	High,	Weak
D2360,	Overcast,	Hot,	Normal,	Strong
D2361,	Overcast,	Cool,	Normal,	Weak
D2362,	Sunny,	Hot,	Normal,	Strong
D2363,	Rain,	Cool,	Normal,	Strong
D2364,	Rain,	Mild,	Normal,	Weak
D2365,	Overcast,	Hot,	High,	Strong
D2366,	Sunny,	Mild,	Normal,	Strong
D2367,	Rain,	Mild,	Normal,	Weak
D2368,	Overcast,	Hot,	Normal,	Strong
D2369,	Sunny,	Mild,	High,	Weak
D2370,	Rain,	Cool,	High,	Strong
D2371,	Overcast,	Mild,	Normal,	Weak
D2372,	Rain,	Hot,	High,	Strong
D2373,	Rain,	Cool,	High,	Strong
D2374,	Overcast,	Mild,	High,	Weak
D2375,	Sunny,	Cool,	High,	Strong
D2376,	Rain,	Cool,	Normal,	Strong
D2377,	Rain,	Mild,	Normal,	Weak
D2378,	Rain,	Mild,	High,	Strong
D2379,	Rain,	Hot,	Normal,	Weak
D2380,	Sunny,	Mild,	Normal,	Strong
D2381,	Overcast,	Mild,	Normal,	Strong
D2382,	Sunny,	Cool,	High,	Weak
D2383,	Rain,	Cool,	Normal,	Strong
D2384,	Overcast,	Cool,	Normal,	Weak
D2385,	Sunny,	Hot,	Normal,	Weak
D2386,	Sunny,	Mild,	High,	Strong
D2387,	Rain,	Cool,	High,	Strong
D2388,	Overcast,	Cool,	Normal,	Strong
D2389,	Sunny,	Cool,	High,	Weak
D2390,	Rain,	Mild,	High,	Weak
D2391,	Overcast,	Mild,	High,	Weak
D2392,	Sunny,	Hot,	Normal,	Strong
D2393,	Rain,	Hot,	High,	Weak
D2394,	Rain,	Cool,	High,	Strong
D2395,	Sunny,	Mild,	Normal,	Strong
D2396,	Sunny,	Hot,	Normal,	Strong
D2397,	Rain,	Mild,	High,	Strong
D2398,	Overcast,	Mild,	High,	Strong
D2399,	Overcast,	Hot,	Normal,	Weak
D2400,	Overcast,	Mild,	Normal,	Weak
D2401,	Rain,	Cool,	Normal,	Strong
D2402,	Sunny,	Mild,	High,	Strong
D2403,	Rain,	Mild,	Normal,	Strong
D2404,	Overcast,	Cool,	High,	Weak
D2405,	Rain,	Cool,	High,	Weak
D2406,	Rain,	Hot,	Normal,	Weak
D2407,	Sunny,	Hot,	Normal,	Weak
D2408,	Rain,	Cool,	Normal,	Strong
D2409,	Sunny,	Hot,	Normal,	Strong
D2410,	Overcast,	Mild,	High,	Strong
D2411,	Overcast,	Cool,	High,	Strong
D2412,	Overcast,	Mild,	High,	Strong
D2413,	Rain,	Hot,	Normal,	Strong
D2414,	Rain,	Cool,	High,	Strong
D2415,	Rain,	Hot,	High,	Strong
D2416,	Rain,	Mild,	High,	Strong
D2417,	Overcast,	Cool,	High,	Strong
D2418,	Rain,	Cool,	Normal,	Strong
D2419,	Rain,	Cool,	High,	Strong
D2420,	Overcast,	Mild,	Normal,	Strong
D2421,	Sunny,	Cool,	Normal,	Weak
D2422,	Overcast,	Hot,	High,	Strong
D2423,	Rain,	Cool,	Normal,	Weak
D2424,	Overcast,	Cool,	Normal,	Strong
D2425,	Overcast,	Cool,	Normal,	Weak
D2426,	Overcast,	Mild,	High,	Strong
D2427,	Rain,	Cool,	High,	Weak
D2428,	Rain,	Cool,	Normal,	Weak
D2429,	Overcast,	Mild,	Normal,	Weak
D2430,	Overcast,	Mild,	Normal,	Strong
D2431,	Rain,	Hot,	High,	Strong
D2432,	Rain,	Hot,	Normal,	Strong
D2433,	Sunny,	Mild,	Normal,	Weak
D2434,	Sunny,	Hot,	Normal,	Strong
D2435,	Rain,	Cool,	Normal,	Strong
D2436,	Overcast,	Hot,	Normal,	Strong
D2437,	Sunny,	Hot,	Normal,	Strong
D2438,	Overcast,	Mild,	Normal,	Strong
D2439,	Sunny,	Hot,	High,	Strong
D2440,	Sunny,	Mild,	High,	Weak
D2441,	Sunny,	Cool,	High,	Weak
D2442,	Rain,	Mild,	High,	Weak
D2443,	Rain,	Mild,	High,	Strong
D2444,	Overcast,	Mild,	Normal,	Weak
D2445,	Sunny,	Cool,	High,	Strong
D2446,	Rain,	Cool,	Normal,	Strong
D2447,	Sunny,	Mild,	High,	Strong
D2448,	Overcast,	Hot,	High,	Weak
D2449,	Overcast,	Hot,	High,	Weak
D2450,	Rain,	Hot,	High,	Weak
D2451,	Overcast,	Hot,	Normal,	Weak
D2452,	Sunny,	Cool,	Normal,	Strong
D2453,	Rain,	Mild,	High,	Strong
D2454,	Overcast,	Hot,	Normal,	Weak
D2455,	Rain,	Mild,	High,	Strong
D2456,	Overcast,	Cool,	Normal,	Weak
D2457,	Rain,	Cool,	Normal,	Weak
D2458,	Rain,	Hot,	High,	Weak
D2459,	Overcast,	Mild,	Normal,	Weak
D2460,	Sunny,	Cool,	Normal,	Strong
D2461,	Overcast,	Hot,	High,	Strong
D2462,	Rain,	Cool,	High,	Weak
D2463,	Overcast,	Mild,	High,	Weak
D2464,	Sunny,	Cool,	Normal,	Strong
D2465,	Sunny,	Mild,	Normal,	Weak
D2466,	Rain,	Cool,	Normal,	Strong
D2467,	Sunny,	Cool,	High,	Weak
D2468,	Overcast,	Hot,	Normal,	Strong
D2469,	Rain,	Hot,	Normal,	Weak
D2470,	Overcast,	Mild,	High,	Strong
D2471,	Rain,	Hot,	High,	Weak
D2472,	Overcast,	Cool,	Normal,	Strong
D2473,	Rain,	Hot,	High,	Weak
D2474,	Overcast,	Hot,	High,	Weak
D2475,	Overcast,	Mild,	High,	Weak
D2476,	Overcast,	Mild,	High,	Strong
D2477,	Rain,	Hot,	Normal,	Strong
D2478,	Overcast,	Mild,	Normal,	Strong
D2479,	Rain,	Mild,	Normal,	Weak
D2480,	Rain,	Mild,	Normal,	Strong
D2481,	Sunny,	Hot,	High,	Strong
D2482,	Overcast,	Hot,	High,	Weak
D2483,	Overcast,	Cool,	High,	Weak
D2484,	Sunny,	Mild,	High,	Strong
D2485,	Sunny,	Hot,	Normal,	Strong
D2486,	Rain,	Mild,	Normal,	Weak
D2487,	Overcast,	Mild,	Normal,	Weak
D2488,	Rain,	Hot,	Normal,	Weak
D2489,	Rain,	Cool,	High,	Weak
D2490,	Overcast,	Cool,	Normal,	Strong
D2491,	Rain,	Mild,	Normal,	Strong
D2492,	Rain,	Cool,	Normal,	Weak
D2493,	Rain,	Cool,	Normal,	Strong
D2494,	Overcast,	Mild,	High,	Weak
D2495,	Overcast,	Cool,	Normal,	Strong
D2496,	Overcast,	Mild,	High,	Weak
D2497,	Sunny,	Cool,	Normal,	Strong
D2498,	Sunny,	Cool,	High,	Weak
D2499,	Sunny,	Cool,	High,	Weak
D2500,	Overcast,	Hot,	High,	Weak
D2501,	Overcast,	Cool,	Normal,	Weak
D2502,	Sunny,	Mild,	Normal,	Weak
D2503,	Rain,	Cool,	High,	Weak
D2504,	Sunny,	Cool,	High,	Weak
D2505,	Sunny,	Cool,	Normal,	Weak
D2506,	Rain,	Mild,	High,	Weak
D2507,	Overcast,	Cool,	High,	Strong
D2508,	Sunny,	Mild,	Normal,	Weak
D2509,	Sunny,	Cool,	High,	Strong
D2510,	Overcast,	Hot,	High,	Strong
D2511,	Rain,	Cool,	High,	Weak
D2512,	Sunny,	Mild,	Normal,	Weak
D2513,	Rain,	Mild,	Normal,	Strong
D2514,	Rain,	Cool,	Normal,	Strong
D2515,	Sunny,	Mild,	High,	Weak
D2516,	Sunny,	Mild,	Normal,	Strong
D2517,	Rain,	Mild,	Normal,	Weak
D2518,	Sunny,	Mild,	Normal,	Weak
D2519,	Sunny,	Mild,	Normal,	Strong
D2520,	Rain,	Hot,	High,	Weak
D2521,	Sunny,	Hot,	High,	Weak
D2522,	Sunny,	Hot,	Normal,	Strong
D2523,	Rain,	Hot,	High,	Strong
D2524,	Sunny,	Hot,	High,	Strong
D2525,	Rain,	Mild,	High,	Strong
D2526,	Overcast,	Hot,	Normal,	Weak
D2527,	Rain,	Cool,	Normal,	Strong
D2528,	Sunny,	Cool,	High,	Weak
D2529,	Overcast,	Hot,	Normal,	Strong
D2530,	Rain,	Hot,	Normal,	Strong
D2531,	Sunny,	Cool,	High,	Weak
D2532,	Rain,	Cool,	High,	Weak
D2533,	Overcast,	Cool,	High,	Weak
D2534,	Overcast,	Hot,	Normal,	Weak
D2535,	Sunny,	Cool,	Normal,	Strong
D2536,	Rain,	Cool,	Normal,	Strong
D2537,	Rain,	Mild,	High,	Weak
D2538,	Sunny,	Cool,	Normal,	Strong
D2539,	Overcast,	Cool,	High,	Weak
D2540,	Overcast,	Cool,	Normal,	Weak
D2541,	Overcast,	Mild,	Normal,	Weak
D2542,	Rain,	Hot,	Normal,	Weak
D2543,	Sunny,	Hot,	Normal,	Strong
D2544,	Overcast,	Cool,	High,	Strong
D2545,	Overcast,	Mild,	High,	Weak
D2546,	Sunny,	Mild,	Normal,	Strong
D2547,	Overcast,	Mild,	High,	Weak
D2548,	Overcast,	Cool,	High,	Strong
D2549,	Rain,	Cool,	High,	Strong
D2550,	Overcast,	Cool,	Normal,	Weak
D2551,	Sunny,	Hot,	High,	Strong
D2552,	Overcast,	Mild,	High,	Strong
D2553,	Overcast,	Hot,	Normal,	Strong
D2554,	Overcast,	Cool,	Normal,	Strong
D2555,	Rain,	Mild,	High,	Strong
D2556,	Overcast,	Mild,	High,	Strong
D2557,	Sunny,	Hot,	Normal,	Weak
D2558,	Sunny,	Mild,	High,	Weak
D2559,	Sunny,	Mild,	High,	Weak
D2560,	Rain,	Cool,	Normal,	Strong
D2561,	Sunny,	Mild,	Normal,	Strong
D2562,	Rain,	Hot,	High,	Strong
D2563,	Rain,	Hot,	High,	Strong
D2564,	Sunny,	Hot,	High,	Strong
D2565,	Overcast,	Cool,	Normal,	Weak
D2566,	Rain,	Hot,	Normal,	Weak
D2567,	Overcast,	Mild,	High,	Weak
D2568,	Overcast,	Cool,	High,	Weak
D2569,	Sunny,	Mild,	Normal,	Strong
D2570,	Rain,	Mild,	Normal,	Weak
D2571,	Overcast,	Mild,	High,	Strong
D2572,	Rain,	Mild,	High,	Strong
D2573,	Sunny,	Hot,	High,	Strong
D2574,	Overcast,	Hot,	High,	Strong
D2575,	Overcast,	Mild,	Normal,	Weak
D2576,	Overcast,	Mild,	Normal,	Weak
D2577,	Sunny,	Mild,	High,	Strong
D2578,	Rain,	Cool,	High,	Strong
D2579,	Rain,	Cool,	Normal,	Strong
D2580,	Overcast,	Hot,	Normal,	Strong
D2581,	Overcast,	Mild,	Normal,	Strong
D2582,	Sunny,	Hot,	High,	Strong
D2583,	Sunny,	Cool,	High,	Weak
D2584,	Overcast,	Hot,	Normal,	Strong
D2585,	Rain,	Mild,	High,	Weak
D2586,	Sunny,	Mild,	High,	Weak
D2587,	Rain,	Mild,	Normal,	Strong
D2588,	Sunny,	Hot,	High,	Weak
D2589,	Rain,	Hot,	High,	Weak
D2590,	Overcast,	Mild,	High,	Strong
D2591,	Rain,	Mild,	Normal,	Strong
D2592,	Sunny,	Hot,	High,	Weak
D2593,	Rain,	Hot,	High,	Weak
D2594,	Overcast,	Mild,	High,	Weak
D2595,	Rain,	Cool,	Normal,	Weak
D2596,	Sunny,	Cool,	Normal,	Strong
D2597,	Rain,	Hot,	High,	Strong
D2598,	Sunny,	Cool,	Normal,	Weak
D2599,	Overcast,	Mild,	Normal,	Weak
D2600,	Rain,	Mild,	High,	Weak
D2601,	Overcast,	Hot,	Normal,	Weak
D2602,	Rain,	Cool,	Normal,	Weak
D2603,	Overcast,	Mild,	High,	Weak
D2604,	Overcast,	Mild,	High,	Weak
D2605,	Overcast,	Cool,	High,	Weak
D2606,	Rain,	Hot,	Normal,	Weak
D2607,	Rain,	Hot,	High,	Weak
D2608,	Sunny,	Cool,	Normal,	Weak
D2609,	Overcast,	Mild,	High,	Strong
D2610,	Overcast,	Cool,	High,	Weak
D2611,	Sunny,	Mild,	High,	Strong
D2612,	Rain,	Hot,	High,	Weak
D2613,	Sunny,	Hot,	Normal,	Strong
D2614,	Sunny,	Hot,	High,	Weak
D2615,	Sunny,	Cool,	Normal,	Strong
D2616,	Overcast,	Mild,	High,	Weak
D2617,	Sunny,	Cool,	Normal,	Strong
D2618,	Rain,	Cool,	Normal,	Weak
D2619,	Rain,	Cool,	Normal,	Strong
D2620,	Rain,	Cool,	Normal,	Weak
D2621,	Rain,	Cool,	High,	Strong
D2622,	Rain,	Cool,	Normal,	Strong
D2623,	Overcast,	Cool,	High,	Weak
D2624,	Sunny,	Mild,	Normal,	Strong
D2625,	Rain,	Mild,	High,	Weak
D2626,	Rain,	Hot,	High,	Strong
D2627,	Rain,	Cool,	High,	Strong
D2628,	Sunny,	Cool,	High,	Strong
D2629,	Rain,	Cool,	Normal,	Strong
D2630,	Sunny,	Hot,	Normal,	Strong
D2631,	Rain,	Mild,	High,	Weak
D2632,	Overcast,	Cool,	Normal,	Weak
D2633,	Rain,	Hot,	High,	Strong
D2634,	Sunny,	Cool,	High,	Strong
D2635,	Overcast,	Mild,	Normal,	Strong
D2636,	Overcast,	Mild,	Normal,	Weak
D2637,	Rain,	Mild,	Normal,	Strong
D2638,	Sunny,	Cool,	Normal,	Weak
D2639,	Overcast,	Hot,	Normal,	Weak
D2640,	Overcast,	Cool,	Normal,	Weak
D2641,	Sunny,	Cool,	High,	Strong
D2642,	Rain,	Cool,	Normal,	Strong
D2643,	Rain,	Cool,	Normal,	Strong
D2644,	Overcast,	Hot,	High,	Weak
D2645,	Rain,	Hot,	Normal,	Strong
D2646,	Sunny,	Cool,	Normal,	Weak
D2647,	Overcast,	Mild,	Normal,	Weak
D2648,	Overcast,	Hot,	High,	Weak
D2649,	Overcast,	Hot,	High,	Weak
D2650,	Overcast,	Mild,	Normal,	Strong
D2651,	Overcast,	Cool,	High,	Weak
D2652,	Rain,	Hot,	High,	Strong
D2653,	Sunny,	Mild,	Normal,	Weak
D2654,	Overcast,	Hot,	High,	Strong
D2655,	Sunny,	Cool,	High,	Weak
D2656,	Overcast,	Cool,	High,	Weak
D2657,	Sunny,	Hot,	High,	Weak
D2658,	Sunny,	Cool,	High,	Strong
D2659,	Overcast,	Mild,	High,	Strong
D2660,	Rain,	Hot,	High,	Strong
D2661,	Overcast,	Cool,	High,	Weak
D2662,	Overcast,	Hot,	Normal,	Strong
D2663,	Overcast,	Mild,	High,	Weak
D2664,	Sunny,	Hot,	Normal,	Weak
D2665,	Overcast,	Mild,	Normal,	Weak
D2666,	Rain,	Cool,	Normal,	Strong
D2667,	Sunny,	Mild,	Normal,	Strong
D2668,	Overcast,	Hot,	High,	Weak
D2669,	Rain,	Cool,	Normal,	Strong
D2670,	Overcast,	Hot,	Normal,	Weak
D2671,	Sunny,	Hot,	Normal,	Weak
D2672,	Overcast,	Cool,	High,	Weak
D2673,	Rain,	Mild,	Normal,	Strong
D2674,	Overcast,	Mild,	Normal,	Strong
D2675,	Overcast,	Hot,	High,	Strong
D2676,	Sunny,	Hot,	High,	Strong
